Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Uncanny Dodge,Internal Alchemist,6,Swift Poisoning,"Starting at 6th level, an internal alchemist can react to danger before his senses would normally allow him to do so. He cannot be caught flat-footed, nor does he lose his Dexterity bonus to AC if the attacker is invisible. However, he still loses his Dexterity bonus to AC if he is immobilized, or if an opponent successfully uses the feint action (see Bluff) against him. If the internal alchemist already has uncanny dodge from a different class, he automatically gains improved uncanny dodge (as a rogue) instead. This ability",Alchemist,,,,
Cognatogen,Mindchemist,1,Mutagen,"At 1st level, a mindchemist learns how to create a cognatogen, as per the cognatogen discovery. This ability",Alchemist,,,,
Bonus Feats,Mindchemist,1,,"A mindchemist may select Skill Focus (Disable Device, Disguise, Heal, any Knowledge skill, Sense Motive, or Spellcraft) in place of a discovery.",Alchemist,,,,
Languages,Mindchemist,1,,A mindchemist may learn three languages in place of a discovery.,Alchemist,,,,
Perfect Recall,Mindchemist,2,Poison Use,"At 2nd level, a mindchemist has honed his memory. When making a Knowledge check, he may add his Intelligence bonus on the check a second time. Thus, a mindchemist with 5 ranks in Knowledge (history) and a +2 Intelligence bonus has a total skill bonus of +9 (5 + 2 + 2) using this ability. The mindchemist can also use this ability when making an Intelligence check to remember something. This ability",Alchemist,,,,
Bottled Ally I,Preservationist,2,Poison Use,"At 2nd level, a preservationist adds Handle Animal to his list of class skills. He adds summon nature's ally I to his formula book as a 1st-level extract. When he prepares that extract, he actually prepares a tiny, preserved specimen in a bottle (as with a caster casting the spell, the preservationist doesn't have to choose the creature until he uses the extract). When the alchemist opens the bottle, the specimen animates and grows to normal size, serving the preservationist as per the spell and otherwise being treated as a summoned creature. When the duration expires, the preserved creature decays into powder. If the preservationist has the infusion discovery, another character can use the infused specimen. The Augment Summoning feat can be applied to these specimens. This ability",Alchemist,,,,
Bottled Ally II,Preservationist,5,Poison Resistance 4,"At 5th level, a preservationist adds summon nature's ally II to his formula book as a 2nd-level extract. This ability",Alchemist,,,,
Bottled Ally III,Preservationist,8,Poison Resistance 6,"At 8th level, a preservationist adds summon nature's ally IV to his formula book as a 3rd-level extract. This ability",Alchemist,,,,
Bottled Ally IV,Preservationist,10,Poison Immunity,"At 10th level, a preservationist adds summon nature's ally V to his formula book as a 4th-level extract. This ability",Alchemist,,,,
Bottled Ally V,Preservationist,14,Persistent Mutagen,"At 14th level, a preservationist adds summon nature's ally VII to his formula book as a 5th-level extract. This ability",Alchemist,,,,
Bottled Ally VI,Preservationist,18,His 18th-level Discovery,"At 18 level, a preservationist adds summon nature's ally IX to his formula book as a 6th-level extract. This ability",Alchemist,,,,
Bomb,Psychonaut,1,Bomb,"A psychonaut's bombs deal damage one die step lower than normal (regular bombs deal d4s, concussive bombs deal 1d3s, and so on). This ability otherwise functions as and",Alchemist,,,,
Precognition,Psychonaut,5,Poison Resistance 4,"At 5th level, a psychonaut adds augury to his formula book as a 2nd-level extract (this extract does not require a divine focus component). This",Alchemist,,,,
Psychic Senses,Psychonaut,8,Poison Resistance 6,"At 8th level, a psychonaut adds clairaudience/clairvoyance, detect scrying, scrying, and speak with dead to his formula book as 3rd-level extracts (a scrying extract does not require a focus or divine focus component). When a psychonaut uses a speak with dead extract, he gains the power to hear the lingering spirit within a corpse rather than enabling the corpse to audibly speak, but the extract otherwise works as the spell. This ability",Alchemist,,,,
Remote Consciousness,Psychonaut,10,Poison Immunity,"At 10th level, a psychonaut adds dream, lesser astral projection, nightmare, plane shift, sending, and telepathic bond to his formula book as 4th-level extracts (a plane shift extract does not require a focus component). This ability",Alchemist,,,,
Greater Precognition,Psychonaut,15,The Increase To Bomb Damage At This Level,"At 15th level, a psychonaut adds moment of prescience to his formula book as a 5th-level extract. This ability",Alchemist,,,,
Master Precognition,Psychonaut,17,The Increase To Bomb Damage At This Level,"At 17th level, a psychonaut adds foresight to his formula book as a 6th-level extract. This ability",Alchemist,,,,
Bomb,Reanimator,1,Bomb,"A reanimator's bombs deal damage one die step lower than normal (regular bombs deal d4s, concussive bombs deal 1d3s, and so on). This ability otherwise functions as and",Alchemist,,,,
Simple Reanimation,Reanimator,7,,"At 7th level, a reanimator adds lesser animate dead* to his formula book as a 3rd-level extract. When he uses that extract, rather than drinking it, he injects it into the corpse he intends to animate, which rises as an undead creature under his control 1 hour later. The extract can only create zombies (including variant zombies). This ability",Alchemist,,,,
Create Undead,Reanimator,13,,"At 13th level, a reanimator adds create undead to his formula book as a 4th-level extract. When he uses that extract, rather than drinking it, he injects it into the corpse he intends to animate, which rises as an uncontrolled undead 1 hour later. The extract can only create corporeal undead. This ability",Alchemist,,,,
Create Greater Undead,Reanimator,15,,"At 15th level, a reanimator adds create greater undead to his formula book as a 5th-level extract. This otherwise acts similarly to a create undead extract. This ability",Alchemist,,,,
Alchemy,Standard Alchemist,1,,Detect Magic on Potions when held for 1 minute.,Alchemist,1,,,
Bomb,Standard Alchemist,1,,Bombs deal {0} damage. {1} per day.,Alchemist,1,,,
Brew Potion,Standard Alchemist,1,,Gain Brew Potion feat.,Alchemist,1,,,
Mutagen,Standard Alchemist,1,,"Create a special potion that provides a +2 Natural Armor bonus, +4 to a physical stat, and -2 to a mental stat. Combinations are Str/Int Dex/Wis Con/Cha. Lasts {0} minutes.",Alchemist,1,1,MinutesPerLevel10,
Throw Anything,Standard Alchemist,1,,+{0} on splash attacks.,Alchemist,1,,,
Discovery,Standard Alchemist,2,,{0} discoveries.,Alchemist,1,,,
Poison Resistance,Standard Alchemist,2,,+{0} vs Poison.,Alchemist,1,,,
Poison Use,Standard Alchemist,2,,Trained in poison use.,Alchemist,0,,,
Swift Alchemy,Standard Alchemist,3,,1/2 time to create alchemical items. Apply poison with Move action.,Alchemist,0,,,
Swift Poisoning,Standard Alchemist,6,,Apply poison to a weapon as swift action.,Alchemist,0,,,
Poison Immunity,Standard Alchemist,10,,Complete Immunity to poison.,Alchemist,1,,,
Persistent Mutagen,Standard Alchemist,14,,Effects of a mutagen last for 1 hour per level.,Alchemist,1,,,
Instant Alchemy,Standard Alchemist,18,,Create alchemical items in a full-round action and apply poison as an immediate action.,Alchemist,1,,,
Grand Discovery,Standard Alchemist,20,,Grand Discovery has not been selected yet.,Alchemist,1,,,
Sneak Attack,Vivisectionist,1,Bomb,"At 1st level, a vivisectionist gains the sneak attack ability as a rogue of the same level. If a character already has sneak attack from another class, the levels from the classes that grant sneak attack stack to determine the effective rogue level for the sneak attack's extra damage dice (so an alchemist 1/rogue 1 has a +1d6 sneak attack like a 2nd-level rogue, an alchemist 2/rogue 1 has a +2d6 sneak attack like a 3rd-level rogue, and so on). This ability",Alchemist,,,,
Torturers Eye,Vivisectionist,2,,"At 2nd level, a vivisectionist adds deathwatch to his formula book as a 1st-level extract.",Alchemist,,,,
Bleeding Attack,Vivisectionist,2,,A vivisectionist may select the bleeding attack rogue talent in place of a discovery.,Alchemist,,,,
Cruel Anatomist,Vivisectionist,3,,"At 3rd level, a vivisectionist may use his Knowledge (nature) skill bonus in place of his Heal skill bonus.",Alchemist,,,,
Torturous Transformation 1,Vivisectionist,7,,"At 7th level, a vivisectionist adds anthropomorphic animal to his formula book as a 2nd-level extract. When he uses this extract, he injects it into an animal as part of a 2-hour surgical procedure. By using multiple doses of this extract as part of the surgery, he multiplies the duration by the number of extracts used.",Alchemist,,,,
Torturous Transformation 2,Vivisectionist,9,,"At 9th level, a vivisectionist adds awaken and baleful polymorph to his formula book as 3rd-level extracts. When he uses the awaken or baleful polymorph extract, he injects it into the target (not a plant) as part of a 24-hour surgical procedure. He can make anthropomorphic animal permanent on a creature by spending 7,500 gp.",Alchemist,,,,
Crippling Strike,Vivisectionist,10,,"At 10th level or later, a vivisectionist may select the crippling strike rogue talent in place of a discovery.",Alchemist,,,,
Torturous Transformation 3,Vivisectionist,15,,"At 15th level, a vivisectionist adds regenerate to his formula book as a 5th-level extract.",Alchemist,,,,
Aura Of Evil,Standard Antipaladin,1,,Radiate an aura of evil of level {0}.,Antipaladin,0,,,
Detect Good,Standard Antipaladin,1,,Detect good person or object within 60 ft radius as move action.,Antipaladin,1,,,
Smite Good,Standard Antipaladin,1,,"{0} per day call on the powers of evil to designate a single target to smite. If target is evil add {1} to attack, and {2} to damage, double this damage on first successful hit. All DR is bypassed. +{1} AC against this targets attacks.",Antipaladin,1,,,
Touch Of Corruption,Standard Antipaladin,2,,"Can harm the living as a standard action, or self as a swift action. Alternatively can heal undead instead. Can use this {0} times per day for {1}.",Antipaladin,1,,,
Unholy Resilience,Standard Antipaladin,2,,+{0} to saving throws.,Antipaladin,1,,,
Aura Of Cowardice,Standard Antipaladin,3,,Enemies within 10 ft take -4 penalty to fear. Enemies immune lose immunity.,Antipaladin,0,,,
Cruelty,Standard Antipaladin,3,,Apply any known cruelty to Touch of Corruption. DC {0},Antipaladin,1,,,
Plague Bringer,Standard Antipaladin,3,,Immune to the effects of disease but can spread them.,Antipaladin,1,,,
Channel Negative Energy,Standard Antipaladin,4,,Choose to either do damage to living or heal undead for {0}. Each use consumes 2 charges of lay on hands.,Antipaladin,1,,,
Spells,Standard Antipaladin,4,,Spells per day {0},Antipaladin,1,,,
Fiendish Boon,Standard Antipaladin,5,,Choose a fiendish boon form.,Antipaladin,0,,,
Aura Of Despair,Standard Antipaladin,8,,Enemies within 10 feet of an antipaladin take a –2 penalty on all saving throws.,Antipaladin,0,,,
Aura Of Vengeance,Standard Antipaladin,11,,Award smite good to all allies within 10 ft for 2 charges.,Antipaladin,0,,,
Aura Of Sin,Standard Antipaladin,14,,"Weapons are considered evil, and any attack against an enemy within 10 ft of the antipaladin.",Antipaladin,0,,,
Aura Of Depravity,Standard Antipaladin,17,,"5/Good, each enemy within 10 ft takes -4 vs compulsion effects.",Antipaladin,1,,,
Unholy Champion,Standard Antipaladin,20,,10/Good and banishes good outsiders.,Antipaladin,1,,,
Weapon and Armor Proficiency,Standard Arcane Archer,1,,"An arcane archer is proficient with all simple and martial weapons, light armor, medium armor, and shields",Arcane Archer,,,,
Spells per Day,Standard Arcane Archer,1,,"At the indicated levels, an arcane archer gains new spells per day as if he had also gained a level in an arcane spellcasting class he belonged to before adding the prestige class He does not, however, gain other benefits a character of that class would have gained, except for additional spells per day, spells known (if he is a spontaneous spellcaster), and an increased effective level of spellcasting If a character had more than one arcane spellcasting class before becoming an arcane archer, he must decide to which class he adds the new level for purposes of determining spells per day",Arcane Archer,,,,
Enhance Arrows,Standard Arcane Archer,1,,"At 1st level, every nonmagical arrow an arcane archer nocks and lets fly becomes magical, gaining a +1 enhancement bonus Unlike magic weapons created by normal means, the archer need not spend gold pieces to accomplish this task However, an archer's magic arrows only function for him",Arcane Archer,,,,Su
Imbue Arrow,Standard Arcane Archer,2,,"At 2nd level, an arcane archer gains the ability to place an area spell upon an arrow When the arrow is fired, the spell's area is centered where the arrow lands, even if the spell could normally be centered only on the caster This ability allows the archer to use the bow's range rather than the spell's range A spell cast in this way uses its standard casting time and the arcane archer can fire the arrow as part of the casting The arrow must be fired during the round that the casting is completed or the spell is wasted If the arrow misses, the spell is wasted",Arcane Archer,,,,Su
Seeker Arrow,Standard Arcane Archer,4,,"At 4th level, an arcane archer can launch an arrow at a target known to him within range, and the arrow travels to the target, even around corners Only an unavoidable obstacle or the limit of the arrow's range prevents the arrow's flight This ability negates cover and concealment modifiers, but otherwise the attack is rolled normally Using this ability is a standard action (and shooting the arrow is part of the action) An arcane archer can use this ability once per day at 4th level, and one additional time per day for every two levels beyond 4th, to a maximum of four times per day at 10th level",Arcane Archer,,,,Su
Phase Arrow,Standard Arcane Archer,6,,"At 6th level, an arcane archer can launch an arrow once per day at a target known to him within range, and the arrow travels to the target in a straight path, passing through any nonmagical barrier or wall in its way (Any magical barrier stops the arrow) This ability negates cover, concealment, armor, and shield modifiers, but otherwise the attack is rolled normally Using this ability is a standard action (and shooting the arrow is part of the action) An arcane archer can use this ability once per day at 6th level, and one additional time per day for every two levels beyond 6th, to a maximum of three times per day at 10th level",Arcane Archer,,,,Su
Hail of Arrows,Standard Arcane Archer,8,,"In lieu of his regular attacks, once per day an arcane archer of 8th level or higher can fire an arrow at each and every target within range, to a maximum of one target for every arcane archer level she has earned Each attack uses the archer's primary attack bonus, and each enemy may only be targeted by a single arrow",Arcane Archer,,,,Su
Arrow of Death,Standard Arcane Archer,10,,"At 10th level, an arcane archer can create a special type of slaying arrow that forces the target, if damaged by the arrow's attack, to make a Fortitude save or be slain immediately The DC of this save is equal to 20 + the arcane archer's Charisma modifier It takes 1 day to make a slaying arrow, and the arrow only functions for the arcane archer who created it The slaying arrow lasts no longer than 1 year, and the archer can only have one such arrow in existence at a time",Arcane Archer,,,,Su
Weapon and Armor Proficiency,Standard Arcane Trickster,1,,Arcane tricksters gain no proficiency with any weapon or armor,Arcane Trickster,,,,
Spells per Day,Standard Arcane Trickster,1,,"When a new arcane trickster level is gained, the character gains new spells per day as if she had also gained a level in a spellcasting class she belonged to before adding the prestige class She does not, however, gain other benefits a character of that class would have gained, except for additional spells per day, spells known (if she is a spontaneous spellcaster), and an increased effective level of spellcasting If a character had more than one spellcasting class before becoming an arcane trickster, she must decide to which class she adds the new level for purposes of determining spells per day",Arcane Trickster,,,,
Ranged Legerdemain,Standard Arcane Trickster,1,,"An arcane trickster can use Disable Device and Sleight of Hand at a range of 30 feet Working at a distance increases the normal skill check DC by 5, and an arcane trickster cannot take 10 on this check Any object to be manipulated must weigh 5 pounds or less She can only use this ability if she has at least 1 rank in the skill being used",Arcane Trickster,,,,Su
Sneak Attack,Standard Arcane Trickster,1,,"This is exactly like the rogue ability of the same name The extra damage dealt increases by +1d6 every other level (2nd, 4th, 6th, 8th, and 10th) If an arcane trickster gets a sneak attack bonus from another source, the bonuses on damage stack",Arcane Trickster,,,,
Impromptu Sneak Attack,Standard Arcane Trickster,3,,"Beginning at 3rd level, once per day an arcane trickster can declare one melee or ranged attack she makes to be a sneak attack (the target can be no more than 30 feet distant if the impromptu sneak attack is a ranged attack) The target of an impromptu sneak attack loses any Dexterity bonus to AC, but only against that attack The power can be used against any target, but creatures that are not subject to critical hits take no extra damage (though they still lose any Dexterity bonus to AC against the attack)",Arcane Trickster,,,,Ex
Tricky Spells,Standard Arcane Trickster,5,,"Starting at 5th level, an arcane trickster can cast her spells without their somatic or verbal components, as if using the Still Spell and Silent Spell feats Spells cast using this ability do not increase in spell level or casting time She can use this ability 3 times per day at 5th level and one additional time per every two levels thereafter, to a maximum of 5 times per day at 9th level The arcane trickster decides to use this ability at the time of casting",Arcane Trickster,,,,Su
Arcane 7th,Standard Arcane Trickster,7,,"At 7th level, an arcane trickster can use this ability twice per day",Arcane Trickster,,,,
Invisible Thief,Standard Arcane Trickster,9,,"At 9th level, an arcane trickster can become invisible, as if under the effects of greater invisibility, as a free action She can remain invisible for a number of rounds per day equal to her arcane trickster level Her caster level for this effect is equal to her caster level These rounds need not be consecutive",Arcane Trickster,,,,Su
Surprise Spells,Standard Arcane Trickster,10,,"At 10th level, an arcane trickster can add her sneak attack damage to any spell that deals damage, if the targets are flat-footed This additional damage only applies to spells that deal hit point damage, and the additional damage is of the same type as the spell If the spell allows a saving throw to negate or halve the damage, it also negates or halves the sneak attack damage",Arcane Trickster,,,,
Blood Focus,Standard Arcanist,1,,"the arcanist learns to harness the power of the magic in her blood to push the boundaries of her magic. The arcanist must select one school of magic and one sorcerer bloodline. Once selected, these choices cannot be changed. Whenever the arcanist casts a spell of her chosen school, using one of her arcanist spell slots, she can expend one use of her blood focus as a free action to bolster the spell. This adds 1 to the spell’s caster level and DC. The arcanist cannot expend more than one use of blood focus on a given casting of a spell. In addition, as a standard action an arcanist can expend one use of blood focus to use a bloodline power from her bloodline. She can use any one bloodline power that she would have access to, treating her arcanist levels as sorcerer levels. (The only except is that she cannot use the bloodline power granted at 20th level.) If the bloodline power is limited in its uses per day, she cannot use blood focus to use that bloodline power more times per day than she could if she were a sorcerer of the same level. If the bloodline power grants a permanent bonus (such as fire resistance or the ability to f ly), the arcanist gains this ability for a number of rounds equal to her arcanist level. The arcanist substitutes her Intelligence modifier for her Charisma modifier when determining any variables in these bloodline powers. The arcanist can use blood focus a number of times per day equal to 3 + 1/2 her arcanist level. If she expends all of her daily uses of this ability, she is fatigued. She cannot remove the fatigued condition until she has at least one use of this ability available.",Arcanist,0,,,
Cantrips,Standard Arcanist,1,,"Arcanists can prepare a number of cantrips, or 0-level spells, each day, as noted on Table 1–1. These spells are cast like any other spell, but they do not consume slots and may be used again.",Arcanist,1,,,
Spellbooks,Standard Arcanist,1,,"An arcanist must study her spellbook each day to prepare her spells. She can’t prepare any spell not recorded in her spellbook, except for read magic, which all arcanists can prepare from memory. An arcanist begins play with a spellbook containing all 0-level wizard spells plus three 1st-level spells of her choice. The arcanist also selects a number of additional 1st-level spells equal to her Intelligence modifier to add to the spellbook. At each new arcanist level, she gains two new spells of any spell level or levels that she can cast (based on her new arcanist level) for her spellbook. At any time, an arcanist can also add spells found in other wizards’ spellbooks to her own (see Chapter 9 of the Core Rulebook). At 3rd level and every 2 levels thereafter, an arcanist learns an additional spell that’s derived from her bloodline, automatically adding these spells to her spellbook.",Arcanist,1,,,
Spells,Standard Arcanist,1,,"An arcanist casts arcane spells drawn from the sorcerer/wizard spell list, presented in Chapter 10 of the Core Rulebook. An arcanist must prepare her spells ahead of time, but unlike a wizard, her spells are not expended when they’re cast. Instead, she can cast any spell that she has prepared, assuming she hasn’t yet used up her spells per day for that level. To learn, prepare, or cast a spell, the arcanist must have an Intelligence score equal to at least 10 + the spell level. The saving throw DC against an arcanist’s spell is 10 + the spell level + the arcanist’s Intelligence modifier. An arcanist can only cast a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 1–1. In addition, she receives bonus spells per day if she has a high Intelligence score (see Table 1–3 in the Core Rulebook). An arcanist’s may know any number of spells, but the number she can prepare each day is limited. she can prepare four 0-level spells and two 1st-level spells each day. At each new arcanist level, the number of spells she can prepare each day increases, adding new spell levels as indicated on Table 1–2. Unlike the number of spells she can cast per day, the number of spells an arcanist can prepare each day is not affected by her Intelligence score. Feats and other effects that modify the number of spells known by a spellcaster affect the number of spells the arcanist can prepare. An arcanist must choose and prepare her spells ahead of time by getting 8 hours of sleep and spending 1 hour studying her spellbook. While studying, the arcanist decides what spells to prepare. Like a sorcerer, an arcanist can choose to apply a metamagic feat to a prepared spell as she casts it, increasing the casting time as normal. Like a wizard, she may prepare a spell with a metamagic feat, casting it using the normal casting time. She may combine these options, preparing a spell with a metamagic feat, then add another metamagic feat when she casts it by increasing the casting time.",Arcanist,1,,,
Weapon And Armor Proficiency,Standard Arcanist,1,,"Arcanists are proficient with all simple weapons. They are not proficient with any type of armor or shield. Armor interferes with an arcanist’s gestures, which can cause her spells with somatic components to fail (see Arcane Spells and Armor on page 83 of the Pathfinder RPG Core Rulebook).",Arcanist,1,,,
Scribe Scroll,Standard Arcanist,3,,the arcanist gains Scribe Scroll as a bonus feat.,Arcanist,1,,,
Bonus Feats,Standard Arcanist,8,,"At 8th, 13th, and 18th level, an arcanist gains a bonus feat in addition to the bonus feats gained from normal advancement. At each such opportunity, she can choose a metamagic feat, an item creation feat, Eschew Materials, or Spell Mastery (the arcanist counts as a wizard for the purposes of this feat). The arcanist must still meet all prerequisites for a bonus feat, including caster level minimums.",Arcanist,1,,,
School Supremacy,Standard Arcanist,20,,"the arcanist learns to fully master the powers of one school of magic. Whenever she uses her blood focus to cast a spell of her selected school, she may also modify the spell with Empower Spell, Extend Spell, Silent Spell, or Still Spell. This doesn’t increase the casting time or the level of the spell slot consumed. In addition, the spell’s DC increases by 1. She doesn’t",Arcanist,0,,,
Weapon and Armor Proficiency,Standard Assassin,1,,"Assassins are proficient with the crossbow (hand, light, or heavy), dagger (any type), dart, rapier, sap, shortbow (normal and composite), and short sword Assassins are proficient with light armor but not with shields",Assassin,,,,
Sneak Attack,Standard Assassin,1,,"This is exactly like the rogue ability of the same name The extra damage dealt increases by +1d6 every other level (1st, 3rd, 5th, 7th, and 9th) If an assassin gets a sneak attack bonus from another source, the bonuses on damage stack",Assassin,1,,,
Death Attack,Standard Assassin,1,,"If an assassin studies his victim for 3 rounds and then makes a sneak attack with a melee weapon that successfully deals damage, the sneak attack has the additional effect of possibly either paralyzing or killing the target (assassin's choice) Studying the victim is a standard action The death attack fails if the target detects the assassin or recognizes the assassin as an enemy (although the attack might still be a sneak attack if the target is denied his Dexterity bonus to his Armor Class or is flanked) If the victim of such a death attack fails a Fortitude save (DC 10 + the assassin's class level + the assassin's Int modifier) against the kill effect, she dies If the saving throw fails against the paralysis effect, the victim is rendered helpless and unable to act for 1d6 rounds plus 1 round per level of the assassin If the victim's saving throw succeeds, the attack is just a normal sneak attack Once the assassin has completed the 3 rounds of study, he must make the death attack within the next 3 rounds If a death attack is attempted and fails (the victim makes her save) or if the assassin does not launch the attack within 3 rounds of completing the study, 3 new rounds of study are required before he can attempt another death attack.",Assassin,,,,Ex
Poison Use,Standard Assassin,1,,Assassins are trained in the use of poison and cannot accidentally poison themselves when applying poison to a blade (see Poison),Assassin,,,,
Save Bonus against Poison,Standard Assassin,2,,"At 2nd level, the assassin gains a +1 saving throw bonus against poisons This bonus increase by +1 every two levels",Assassin,,2,,
Uncanny Dodge,Standard Assassin,2,,"At 2nd level, an assassin cannot be caught flat-footed, even if the attacker is invisible He still loses his Dexterity bonus to AC if immobilized An assassin with this ability can still lose his Dexterity bonus to AC if an opponent successfully uses the feint action against him",Assassin,,,,Ex
Hidden Weapons,Standard Assassin,4,,"At 4th level, an assassin becomes a master at hiding weapons on his body He adds his assassin level to all Sleight of Hand skill checks made to prevent others from noticing them",Assassin,,,,Ex
True Death,Standard Assassin,4,,"Starting at 4th level, anyone slain by an assassin's death attack becomes more difficult to bring back from the dead Spellcasters attempting to bring a creature back from the dead using raise dead or similar magic must make a caster level check with a DC equal to 15 + the assassin's level or the spell fails and the material component is wasted Casting remove curse the round before attempting to bring the creature back from the dead negates this chance The DC of the remove curse is 10 + the assassin's level",Assassin,,,,Su
Improved Uncanny Dodge,Standard Assassin,5,,"At 5th level and higher, an assassin can no longer be flanked This defense denies a rogue the ability to sneak attack the assassin by flanking him, unless the attacker has at least four more rogue levels than the target has assassin levels",Assassin,,,,Ex
Quiet Death,Standard Assassin,6,,"At 6th level, whenever an assassin kills a creature using his death attack during a surprise round, he can also make a Stealth check, opposed by Perception checks of those in the vicinity to prevent them from identifying him as the assailant If successful, those nearby might not even notice that the target is dead for a few moments, allowing the assassin to avoid detection",Assassin,,,,Ex
Hide in Plain Sight,Standard Assassin,8,,"At 8th level, an assassin can use the Stealth skill even while being observed As long as he is within 10 feet of some sort of shadow, an assassin can hide himself from view in the open without having anything to actually hide behind He cannot, however, hide in his own shadow",Assassin,,,,Su
Swift Death,Standard Assassin,9,,"At 9th level, once per day, an assassin can make a death attack against a foe without studying the foe beforehand He must still sneak attack his foe using a melee weapon that deals damage",Assassin,,,,Ex
Angel of Death,Standard Assassin,10,,"At 10th level, the assassin becomes a master of death Once per day, when the assassin makes a successful death attack, he can cause the target's body to crumble to dust This prevents raise dead and resurrection (although true resurrection works as normal) The assassin must declare the use of this ability before the attack is made If the attack misses or the target successfully saves against the death attack, this ability is wasted with no effect",Assassin,,,,Su
Destructive,Breaker,1,Fast Movement,"Whenever the breaker barbarian makes a melee attack that targets an unattended object or makes a sunder combat maneuver, she adds half her barbarian level (minimum +1) on the damage roll. This ability",Barbarian,,,,Ex
Battle Scavenger,Breaker,3,Trap Sense,"At 3rd level, the breaker barbarian suffers no penalty on attack rolls when using an improvised weapon or a weapon with the broken condition. In addition, she gains a +1 bonus on damage rolls with improvised or broken weapons for every three levels beyond 3rd. This ability",Barbarian,,,,Ex
Savage Grapple,Brutal Pugalist,2,Uncanny Dodge,"At 2nd level, the brutal pugilist takes only half the normal penalties to Dexterity, attack rolls, and combat maneuver checks when she has the grappled condition. She can make an attack of opportunity against creatures trying to grapple her even if they possess the Improved Grapple feat or the grab special attack. If she hits with this attack of opportunity, she gains a +2 circumstance bonus to her CMD against the grapple attempt. She cannot make these attacks of opportunity once a grapple has succeeded. This ability",Barbarian,,,,Ex
Pit Fighter,Brutal Pugalist,3,Trap Sense,"At 3rd level, the brutal pugilist has learned combat tricks from fighting in pit brawls and gladiatorial arenas. She selects one combat maneuver and gains a +1 insight bonus on her CMB or to her CMD in that maneuver. This bonus increases to +2 if the barbarian is wearing no armor (shields are allowed). At every three levels after 3rd, the barbarian may select another combat maneuver and add this bonus on her CMB or to her CMD. This bonus can be applied to each maneuver no more than twice, once on CMB and once to CMD. This ability",Barbarian,,,,Ex
