Id,Name,SpellId,DefaultEffect,PassEffect,FailEffect,DrawOnFail,Enabled,Origin
27,Feed the Mind 3,5,For an instant you feel your mind touch the minds of your companions (Lore; 3). ,You focus on the connection; you or another investigator within range become Focused.,"If you fail, you recoil in revulsion; suffer 1 facedown Horror.",1,1,
28,Feed the Mind 4,5,Your mind sharpens to a single crystalline moment (Lore; 3).,"If you pass, you see your surroundings with perfect clarity; gain 1 Clue.","If you fail, the moment shatters; flip 1 Horror faceup.",1,1,
29,Feed the Mind 5,5,"A rush of words, sensations, and thoughts fills you (Lore; 3). ",You are able to block out the alien influence and remember yourself; no additional effect.,You struggle to tell your own thoughts from the thoughts of those around you; flip 1 Horror faceup.,1,1,
31,Flesh Ward 1,13,You feel an unsettling presence pass into your body (Lore; 2).,You drive out the magic; no additional effect. ,Your flesh ripples and twitches of its own accord; the affected investigator suffers 1 facedown Horror.,1,1,
32,Flesh Ward 2,13,A strangc energy lingers as thc spell resolves (Lore; 3).,You channel the energy; the affected investigator flips 1 Damage facedown.,The energy dissipates; flip 1 Horror faceup.,1,1,
33,Flesh Ward 3,13,You become aware of every facet of your body and those of your companions (Lore; 2). ,You see a solution for a malady; you or another investigator within range flip 1 Damage facedown.,"You scream in revulsion; suffer 1 facedown Horror,",1,1,
34,Flesh Ward 4,13,Every hair on your body stands on end (Lore; 3).,The moment passes and you are yourself again; no additional effect.,"Shouting and flailing, you abruptly lash out; flip 1 Damage faceup.",1,1,
35,Flesh Ward 5,13,An echo of thc spell passes through you (Lore; 3).,"If you pass, you latch onto the echo and cast it again; discard 1 Damage.","If you fail, you lose your concentration; suffer 1 facedown Horror.",1,1,
36,Instill Bravery 1,6,A strange darkness enters the edge of your vision (Lore; 3).,The darkness fades; no additional effect.,The darkness whispers; flip 1 Horror faceup.,1,1,
37,Instill Bravery 2,6,You glimpse a white ship on a sea of stars (Lore; 3).,A strange sense of peace settles upon you; discard 1 Horror.,The vision vanishes as quickly as it appeared; flip 1 Horror faceup.,1,1,
38,Instill Bravery 3,6,The sound of bells rings in your ears (Lore; 3).,You draw comfort from the music of the cosmos; flip 1 Horror facedown.,The sound fades leaving you none the wiser; no additional effect.,1,1,
39,Instill Bravery 4,6,You feel as if your mind is twisting and stretching (Lore; 2),You gain perspective; flip 1 Horror facedown.,You stagger blindly; suffer 1 facedown Damage.,1,1,
40,Instill Bravery 5,6,"As you finish the spell, your body is wracked with painful coughing (Lore; 2).",You finish the incantation; no additional effect.,The coughing echoes through the spell; suffer 1 facedown Damage.,1,1,
42,Poison Mist 1,7,"The gas clings to your enemy's skin, causing it to bubble and blister. The monster suffers 1 additional damage.",,,1,1,
43,Poison Mist 2,7,"Gas billows from your upraised hands, and you cannot cease the spell. Suffer 1 facedown Horror. Then the monster suffers 1 additional damage and each other monster in your space or an adjacent space suffers 2 damage.",,,1,1,
44,Poison Mist 3,7,The fog forms a hungry face that hunts your enemies. Suffer 1 Horror. Then each other monster in your space or an adjacent space suffers 2 damage.,,,1,1,
45,Poison Mist 4,7,You cough and sputter as you lose all control over the arcane magic. You and each other investigator in your space or an adjacent space suffers 1 facedown Damage. Then the monster suffers 1 additional damage and each other monster in your space or an adjacent space suffers 2 damage.,,,1,1,
46,Poison Mist 5,7,"The spell grows too large for your casting, and you barely manage to control it. Each other monster in your space or an adjacent space suffers 1 damage.",,,1,1,
48,Shriveling 1,8,,"Your enemy's skin starts to rot before your very eyes, tearing it apar at a molecular level. Take 1 horror and deal 5 damage. If the enemy is a humanoid monster, it is killed.",You send that something has gone terribly wrong. The skin on your left hand starts to melt off. Take 1 damage and 1 horror.,1,1,1e
49,Shriveling 2,8,,Your enemy's flesh pours off its body in a river of decay. You take comfort in knowing that it must be dead as you empty your stomach. Take 1 horror. Then deal 7 damage and stun the monster.,At first it appears that nothing is happening. A second later your vision blurs as you watch your enemy's skin boil. Take 2 horror and deal 3 Damage.,1,1,1e
50,Shriveling 3,8,,Small cuts appear across your enemy's skin . It strikes itself repeatedly trying to escape the effect. Deal and amount of damage to the monster equal to the monster's damage value +2.,"Acrid black smoke billows out from the monster as its skin bursts into flames. Deal 2 damage, take 1 horror and place a fire token in this room.",1,1,1e
51,Shriveling 4,8,Your enemy's flesh ripples and reels open. The monster suffers 1 additional damage. Then suffer 1 facedown Horror.,,,1,1,2e
52,Shriveling 5,8,"As you lower your hand, you see a putrid sore on your palm. Suffer 1 facedown damage.",,,1,1,2e
53,Shriveling 6,8,"This spell works exactly as you expect, aside from all the blood. No additional effect.",,,1,1,2e
54,Shriveling 7,8,You feel for a moment as if the strange boils and lesions have taken hold within your brain. Suffer 1 facedown Horror.,,,1,1,2e
55,Shriveling 8,8,,A shiver runs cloven your spine as the spell takes effect. Boils cover your enony body and it falls to the ground convulsing. Deal 5 damage and stun the monster.,"As you finish the incantation, you wait as absolutely nothing happens. You fear that you have done damage. Take 1 horror.",1,1,1e
56,Shriveling 9,8,The spell seems to resonate and echo within your mind. You direct the resonance at another foe. Suffer 1 facedown Horror. Then another monster within range suffers 3 damage.,,,1,1,2e
57,Soul Pact 1,9,,The spell briefly allows you to focus on the task in front of you. The effect seems to pass quickly. ,You are overcome by fear and mistrust. You reret having ever dabbled in spellcraft.,0,1,
58,Soul Pact 2,9,,In your mind's eye you see your entire life up to this point. You know in your heart that you are exactly where you are meant to be. Discard 1 insanity trauma card from any invesitgator in your room.,The entire room shakes ominously. You fear that strange forces conspired against you. The keeper gains 3 threat.,1,1,
59,Soul Pact 3,9,,"You feel the emotional weight of all your compansions, depending on you for their well-being. Every investigator in the room (not including yourself) heals 1 additional horror.","Time seems to stand still. It may have only been a minute, but you fear that much horror can be found within a single moment. The leeper gais 3 threat.",1,1,
60,Soul Pact 4,9,,You hear gentle chimes and feel a cool breeze. They sooth your troubled mind. Heal 1 additional horror.,"You feel powerfully alert, your heart pounding in your chest and sweat pouring down your face. Take 1 damage.",1,1,
63,Spectral Razor 1,10,"Losing control of the energy, it bursts from your hands in a flurry of quick slices. The blood it draws only strengthens its power to cause pain. You and each other investigator in your space suffers 1 facedown Damage. Then the monster suffers 1 additional damage for each investigator in your space.",,,1,1,
64,Spectral Razor 2,10,Twin blades of pure energy carve deep into the heart of your foe. The monster suffers 1 additional damage.,,,1,1,
65,Spectral Razor 3,10,"With each recitation, the arcane force carves another thin wound into your flesh. Suffer 1 facedown Damage.",,,1,1,
66,Spectral Razor 4,10,"Ellle power lashes from your fingers, carving gruesome wounds into your enemy. Suffer 1 facedown Horror. Then the monster suffers 1 additional damage.",,,1,1,
67,Spectral Razor 5,10,"Finishing the incantation, you hope that this power will be enough to protect you. No additional effect.",,,1,1,
69,Wither 1,11,"The spell writhes in your and like a living thing, lashing out at random around you. Suffer 1 facedown Damage.",,,1,1,
70,Wither 2,11,For a moment you see yourself in the face of your victim. Suffer 1 facedown Horror.,,,1,1,
71,Wither 3,11,"You shout as the spell leaves your body, barely managing to direct its wild power at another foe. Another monster withinrange suffers 2 damage. If no other monsters are within range, another investigator within range suffers 1 facedown Damage. ",,,1,1,
72,Wither 4,11,You see the spell ripple and spread from where it hit your target. You suffer 1 facedown damage and the monster suffers 1 additional damage.,,,1,1,
73,Wither 5,11,"For once, the spell seems to go exactly as written in that old book. No additional effect.",,,1,1,
75,Wrack 1,12,You feel the pieces of the spell fall effortlessly into place in your mind. You are fightened by how easy it is to bring pain to another being. Suffer 2 facedown horror. Then flip 1 Horror faceup.,,Yes,1,1,
76,Wrack 2,12,"As your enemy suffers, it lashes out, injuring itself and anoyone nearby. You and each other investigator in your space suffer 1 facedown Damage, and the monster suffers 1 additional damage.",,Yes,1,1,
77,Wrack 3,12,A tremor of searing white pain passes through you. You and each other investigator in your space suffer 1 facedown Damage.,,Yes,1,1,
78,Wrack 4,12,Your enemy's tormented screams sound almost human. You and each other investigator within range suffer 1 facedown Horror. ,,,1,1,
